1.95;-0.18;1.40;6.59;50.59;-15.00;12;89;10
2.44;0.61;2.26;6.13;50.90;-15.70;12;88;10
3.42;0.85;1.89;6.15;50.48;-14.83;12;89;10
3.78;-0.06;1.83;5.90;50.46;-15.03;12;89;9
3.48;0.85;2.56;5.81;51.06;-15.47;12;88;9
3.60;0.24;2.56;5.73;50.90;-15.61;12;89;9
3.85;0.92;3.78;5.76;50.89;-14.69;12;89;10
1.46;-2.81;1.77;5.71;51.10;-14.14;12;89;10
2.87;-0.12;2.20;4.26;50.57;-14.15;11;89;10
4.33;0.31;2.93;4.00;51.00;-14.66;13;88;9
1.83;9.28;2.62;5.98;49.98;-14.72;14;88;10
2.93;-0.06;0.67;7.14;50.61;-16.66;13;89;12
2.69;0.79;2.62;7.01;50.15;-16.02;12;88;12
2.44;-0.67;3.85;7.36;50.24;-17.80;14;88;12
3.91;6.53;3.91;7.74;50.02;-17.14;14;88;12
3.48;4.64;2.81;8.33;49.84;-16.71;13;88;11
2.81;1.10;1.95;8.03;50.10;-16.61;13;88;11
2.99;0.98;2.08;7.79;50.50;-16.49;13;88;11
3.17;0.55;2.26;7.71;50.46;-16.19;13;88;10
3.60;0.18;2.69;7.56;50.61;-16.11;13;88;11
3.23;1.53;2.93;7.80;50.28;-16.02;13;88;10
3.17;0.92;2.56;7.81;50.89;-16.64;13;88;10
3.05;0.92;2.32;7.56;50.77;-16.64;13;88;10
3.11;0.37;2.14;7.81;50.70;-17.30;13;89;10
2.93;0.61;2.32;8.48;50.48;-16.17;14;88;10
3.91;-0.06;3.30;7.90;50.21;-16.83;14;88;10
3.05;2.01;2.99;8.25;50.73;-15.04;14;88;10
3.54;0.12;2.62;7.68;50.34;-16.00;14;88;10
2.56;1.04;2.32;7.91;50.95;-16.37;14;89;10
3.48;0.37;2.38;8.57;49.90;-16.60;14;89;10
2.75;0.73;2.08;7.60;50.23;-17.22;14;88;11
2.81;1.53;2.26;7.48;50.31;-17.55;14;88;11
3.30;0.61;2.93;8.06;50.32;-17.21;14;88;11
3.05;0.55;2.20;8.04;50.31;-16.48;14;88;11
3.42;0.37;2.44;8.47;50.39;-16.64;14;88;11
3.23;0.43;2.56;7.76;50.66;-16.64;14;88;12
1.65;-2.38;2.69;7.26;50.48;-16.59;16;83;12
1.46;0.18;24.05;6.31;51.16;-17.37;0;83;25
-22.77;-45.84;3.66;7.79;49.30;-15.93;9;83;18
55.48;13.49;-6.53;4.81;47.50;-20.59;9;89;9
5.80;1.40;-29.36;5.05;50.56;-16.67;30;56;20
34.42;3.42;-12.15;5.13;51.44;-16.71;10;99;33
-213.01;-134.34;247.99;6.73;46.78;-21.72;18;63;52
-35.83;2.20;-12.39;-1.53;34.80;-29.42;18;48;77
3.11;3.42;4.76;-1.95;29.53;-29.97;18;51;72
0.06;-52.55;33.20;-3.12;30.79;-29.90;18;47;77
3.30;-0.31;2.93;-3.56;30.00;-29.10;18;46;77
2.50;2.38;1.71;-3.54;29.76;-29.65;18;47;78
3.17;0.55;2.20;-3.91;30.00;-28.28;18;47;78
2.81;1.28;2.20;-4.19;29.75;-28.39;18;47;78
2.93;0.79;2.20;-3.56;30.83;-28.82;18;47;78
3.17;0.37;2.20;-4.09;30.31;-29.69;18;47;78
2.75;1.04;2.01;-4.00;29.94;-29.43;18;47;78
2.99;0.73;2.14;-3.14;29.87;-29.46;18;47;78
2.87;0.73;2.14;-4.35;29.50;-30.19;18;47;78
2.99;0.67;2.14;-3.59;29.68;-29.69;18;47;78
2.93;0.79;2.38;-3.76;29.72;-29.26;18;47;78
2.81;0.85;2.08;-3.31;29.59;-29.17;18;47;78
2.99;0.98;2.14;-3.64;29.72;-29.80;18;47;78
2.99;0.61;2.01;-3.31;29.24;-28.67;18;47;78
2.81;1.10;2.20;-3.60;29.57;-29.86;18;47;78
3.11;-0.06;1.71;-3.10;30.05;-29.16;18;47;78
3.17;-0.12;2.20;-3.42;29.46;-29.92;18;47;78
3.11;0.61;2.08;-3.41;29.28;-28.63;18;47;78
2.99;0.67;2.26;-3.16;29.43;-29.33;18;46;78
2.99;0.79;2.26;-3.12;29.41;-29.71;18;47;78
2.87;0.85;2.14;-3.09;29.49;-28.60;18;47;78
2.93;0.85;2.32;-3.19;29.71;-28.61;18;47;78
3.05;0.67;2.14;-3.22;29.35;-30.46;18;47;78
2.99;0.92;2.08;-2.49;29.46;-29.58;18;47;78
3.05;0.61;2.14;-3.22;29.32;-29.99;18;47;78
3.05;0.79;2.32;-3.31;29.25;-29.81;18;47;78
3.05;0.55;2.26;-3.71;29.02;-29.55;18;47;78
2.99;0.61;2.20;-3.47;29.33;-29.63;18;46;78
2.75;0.85;2.08;-3.11;29.06;-28.98;18;47;78
2.99;0.55;2.20;-3.15;29.15;-29.00;18;47;78
3.05;0.73;2.01;-3.31;29.77;-30.20;18;47;78
2.87;0.67;2.14;-3.02;29.25;-30.37;18;46;78
3.11;0.85;2.14;-2.83;29.27;-29.91;18;46;78
2.87;0.49;2.32;-3.10;29.33;-28.65;18;46;78
3.05;0.67;2.14;-3.58;29.72;-29.39;18;46;78
4.82;-2.01;1.59;-3.23;28.92;-29.59;18;47;78
2.87;1.04;2.44;-3.85;29.21;-29.86;18;47;78
3.11;0.73;2.08;-3.55;29.58;-29.63;18;47;78
2.87;1.04;2.20;-3.61;29.58;-29.85;18;47;78
2.99;0.73;2.26;-3.39;29.96;-29.37;18;47;78
2.81;0.55;2.20;-3.77;29.42;-29.09;18;47;78
2.87;0.85;2.14;-3.70;29.30;-29.19;18;47;78
2.87;0.98;2.14;-3.66;29.57;-28.92;18;47;78
2.75;1.04;2.20;-3.64;28.99;-29.28;18;47;78
2.81;0.61;2.20;-3.60;29.75;-28.67;18;47;78
3.05;0.61;2.32;-3.75;29.25;-29.24;18;47;78
2.99;0.67;2.08;-3.82;29.64;-29.75;18;47;78
2.99;0.85;2.20;-3.43;29.39;-29.86;18;47;78
2.93;0.67;2.32;-3.98;29.49;-29.19;18;47;78
2.99;0.61;2.14;-3.37;29.36;-29.14;18;47;78
3.05;0.37;2.32;-3.70;29.36;-28.65;18;47;78
2.93;0.73;2.14;-4.46;28.86;-29.03;18;47;77
2.81;0.85;2.32;-3.74;29.68;-28.86;18;47;78
2.87;0.73;2.20;-3.38;29.64;-29.47;18;47;78
2.99;0.79;2.20;-3.43;29.53;-29.09;18;47;78
2.81;0.61;2.14;-4.21;29.39;-29.20;18;47;78
3.05;0.73;2.01;-4.25;29.39;-29.31;16;71;44
29.24;-13.92;-19.41;-11.83;41.20;-17.00;11;86;26
16.30;-18.80;34.97;-7.40;42.35;-10.60;13;84;39
-9.83;25.39;24.90;-7.29;39.39;-13.72
